minUtil: 4804
577: 8.22: 11004
816: 7.69: 10992
386: 10.29: 10927
1543: 8.36: 10912
1394: 9.01: 10870
1056: 8.03: 10835
24: 7.6: 10726
266: 9.29: 10692
1338: 8.99: 10656
834: 7.67: 10656
943: 8.54: 10621
1089: 8.41: 10621
619: 7.59: 10575
824: 7.64: 10550
497: 8.66: 10472
1372: 7.69: 10458
1444: 8.77: 10384
1250: 7.71: 10368
1086: 7.69: 10365
1442: 9.99: 10332
1399: 10.11: 10324
117: 7.97: 10175
1306: 8.83: 10127
1346: 7.77: 10105
529: 7.74: 10074
376: 7.93: 9988
1347: 9.71: 9912
772: 8.5: 9894
625: 8.31: 9821
718: 10.36: 9741
125: 7.51: 9737
878: 7.74: 9724
1210: 8.63: 9681
1315: 10.88: 9612
1257: 9.62: 9505
992: 7.64: 9486
721: 7.86: 9485
600: 7.62: 9471
951: 8.05: 9457
545: 12.1: 9419
108: 8.52: 9417
236: 8.72: 9412
1351: 10.9: 9352
685: 8.87: 9333
247: 9.52: 9256
1432: 8.77: 9180
448: 8.21: 9086
382: 9.27: 9072
1478: 8.03: 9044
851: 7.76: 9030
154: 8.29: 9016
375: 7.72: 8931
1174: 8.09: 8853
831: 11.39: 8848
1456: 9.82: 8784
391: 9.95: 8777
389: 8.59: 8771
1029: 7.74: 8736
311: 9.57: 8600
1483: 8.14: 8520
1061: 8.07: 8466
1439: 10.25: 8400
479: 7.93: 8385
877: 7.74: 8374
650: 7.88: 8370
1293: 12.66: 8352
541: 7.95: 8272
932: 10.78: 8262
1463: 7.62: 8118
1526: 8.73: 8085
1247: 8.26: 8064
1362: 10.29: 8046
813: 9.09: 7967
969: 9.33: 7920
980: 7.98: 7740
227: 8.09: 7722
1451: 10.9: 7614
617: 11.75: 7527
913: 7.74: 7476
307: 9.83: 7400
434: 9.33: 7384
988, 1281, 772: 0.15: 7378
1154: 8.01: 7304
324: 8.24: 7289
1217: 9.21: 7239
988, 772: 0.23: 7188
1268: 8.66: 7150
566: 9.05: 7120
1079: 7.96: 7072
1294: 8.07: 7052
404: 11.02: 7000
1224: 9.67: 6944
919: 7.96: 6930
1118, 502, 968, 415: 0.16: 6910
1043: 8.65: 6908
890, 1410, 1493, 191: 0.54: 6885
173: 8.06: 6864
469: 8.32: 6837
443: 8.08: 6783
1410: 7.82: 6536
374: 7.83: 6407
1075: 8.12: 6314
1098: 8.58: 6255
1499: 8.53: 6255
604: 9.04: 6250
501: 9.87: 6227
563: 7.92: 6216
1522: 8.62: 6147
1118, 502, 415: 0.23: 6014
378: 10.08: 5994
528: 7.96: 5952
988, 1281: 0.36: 5826
968: 8.19: 5760
890, 191: 1.37: 5715
1399, 1426: 0.86: 5680
1468: 8.08: 5670
787: 7.64: 5662
1050: 8.06: 5632
618: 7.88: 5600
1397: 8.76: 5577
916, 379, 922: 0.78: 5532
836: 7.75: 5428
1487: 9.64: 5320
890, 1410, 191: 0.61: 5301
888: 11.38: 5280
502, 968, 415: 0.28: 5152
385: 7.55: 5148
1399, 1426, 1043, 217: 0.4: 5128
1210, 844, 1493: 0.27: 5114
728, 1310, 528, 1254, 1493: 0.01: 5039
545, 219, 422, 1098, 479, 1254: 0.01: 5030
795: 8.18: 4992
284: 8.02: 4950
604, 321, 49, 1314: 0.03: 4922
626: 8.6: 4902
1077, 721: 0.56: 4892
1499, 1056: 1.52: 4891
380: 8.84: 4880
890, 1410, 1493: 0.91: 4876
1118, 502, 968: 0.26: 4873
1472, 170: 0.35: 4860
1472, 1389, 819: 0.43: 4851
1362, 946, 742: 0.09: 4827
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 4141
 Candidates count : 1518
 Sum utility : 3131398
 Algorithm run time : 3 seconds
 Peak memory usage : 0.14 MB
