minUtil: 4804
1099: 6.02: 13932
1269: 5.6: 13895
16: 6.67: 13788
575: 7.44: 13769
1237: 7.68: 13750
602: 10.0: 13696
1070: 7.32: 13689
991: 7.01: 13650
986: 5.92: 13650
304: 14.23: 13607
1281: 9.1: 13573
950: 5.88: 13533
1160: 8.19: 13517
656: 6.41: 13475
1473: 9.4: 13452
1430: 5.64: 13440
1529: 5.82: 13407
756: 7.5: 13393
141: 5.57: 13362
1417: 7.03: 13357
803: 6.49: 13338
155: 5.9: 13335
1119: 8.86: 13314
640: 9.36: 13209
1118: 9.5: 13178
1007: 7.37: 13166
896: 6.88: 13127
358: 5.76: 13125
322: 7.14: 13112
1340: 8.25: 13107
326: 9.77: 13091
883: 8.63: 13041
105: 6.66: 13020
387: 7.12: 13014
1374: 5.84: 13005
1168: 5.47: 12988
555: 7.59: 12960
922: 7.53: 12950
54: 9.51: 12889
1001: 7.11: 12852
261: 7.52: 12844
891: 6.99: 12844
933: 6.11: 12844
676: 6.04: 12824
853: 7.52: 12804
890: 9.18: 12789
1416: 7.62: 12788
1073: 5.46: 12765
1472: 8.86: 12760
606: 8.66: 12720
8: 6.47: 12691
1165: 8.01: 12690
234: 7.22: 12690
789: 7.51: 12670
568: 6.31: 12654
1248: 6.25: 12653
1291: 9.65: 12642
1308: 9.18: 12642
1547: 9.0: 12614
519: 6.46: 12606
1384: 8.61: 12593
1324: 7.25: 12578
678: 5.56: 12546
580: 8.45: 12532
394: 6.77: 12520
599: 10.79: 12519
659: 5.56: 12519
1241: 7.62: 12516
193: 5.91: 12510
884: 5.81: 12480
825: 8.29: 12452
1390: 11.26: 12415
493: 8.31: 12408
63: 6.74: 12390
484: 5.42: 12376
742: 7.8: 12350
915: 7.67: 12341
1146: 6.2: 12336
1213: 6.35: 12301
44: 8.34: 12298
321: 8.28: 12291
489: 6.9: 12291
882: 7.54: 12201
467: 5.82: 12192
200: 9.8: 12190
414: 8.49: 12188
584: 8.8: 12173
1272: 7.02: 12152
1313: 5.99: 12152
82: 7.45: 12150
68: 6.55: 12104
512: 5.63: 12056
191: 7.54: 12054
774: 7.9: 12005
963: 7.3: 12000
1264: 9.35: 11985
1019: 7.56: 11968
149: 7.13: 11952
1047: 6.06: 11951
1342: 5.38: 11936
952: 6.61: 11931
1184: 6.96: 11928
121: 6.16: 11920
1074: 5.45: 11894
1538: 7.26: 11893
634: 11.88: 11881
219: 9.27: 11844
1279: 7.18: 11840
1142: 7.54: 11800
673: 8.2: 11782
1343: 6.1: 11767
749: 10.03: 11748
800: 7.39: 11729
1048: 9.43: 11713
1220: 10.18: 11700
569: 5.47: 11692
691: 7.26: 11685
1357: 9.1: 11653
415: 7.88: 11640
819: 8.06: 11634
751: 6.76: 11607
260: 8.51: 11592
610: 6.23: 11577
308: 10.94: 11554
728: 9.17: 11528
1502: 6.14: 11521
357: 11.97: 11520
534: 7.46: 11491
1465: 6.69: 11430
270: 6.02: 11424
1367: 5.47: 11424
1252: 7.48: 11391
1116: 7.73: 11377
940: 6.07: 11360
66: 5.62: 11352
1470: 8.64: 11327
1366: 7.46: 11311
373: 6.5: 11311
1002: 6.4: 11308
1114: 7.13: 11286
164: 5.95: 11286
476: 5.63: 11284
1066: 6.33: 11271
102: 6.0: 11270
1290: 5.86: 11235
73: 9.65: 11184
275: 5.8: 11118
17: 7.16: 11063
1179: 7.04: 11046
46: 7.06: 11008
577: 8.22: 11004
408: 7.14: 11000
816: 7.69: 10992
386: 10.29: 10927
544: 6.41: 10915
1543: 8.36: 10912
667: 6.94: 10906
65: 5.91: 10904
1394: 9.01: 10870
1139: 5.35: 10868
546: 7.28: 10842
936: 5.85: 10842
1534: 5.84: 10842
1056: 8.03: 10835
624: 5.52: 10824
675: 6.32: 10770
22: 6.77: 10763
856: 6.53: 10755
372: 6.46: 10746
24: 7.6: 10726
266: 9.29: 10692
574: 5.36: 10680
1338: 8.99: 10656
834: 7.67: 10656
943: 8.54: 10621
1089: 8.41: 10621
843: 5.36: 10584
288: 7.35: 10582
619: 7.59: 10575
798: 6.21: 10569
824: 7.64: 10550
1209: 7.01: 10530
1152: 6.54: 10520
497: 8.66: 10472
587: 6.69: 10464
1372: 7.69: 10458
216: 5.51: 10440
1431: 5.9: 10434
548: 6.56: 10433
67: 6.82: 10416
487: 5.61: 10400
957: 7.17: 10395
1240: 5.49: 10385
1444: 8.77: 10384
1250: 7.71: 10368
1086: 7.69: 10365
1455: 6.82: 10364
1402: 6.13: 10360
1435: 5.83: 10336
1442: 9.99: 10332
1399: 10.11: 10324
860: 7.02: 10296
377: 7.13: 10290
653: 6.48: 10286
1196: 5.43: 10220
117: 7.97: 10175
1328: 6.96: 10165
647: 5.71: 10138
1306: 8.83: 10127
783: 5.67: 10127
152: 6.01: 10115
1346: 7.77: 10105
488: 7.49: 10101
862: 6.41: 10101
242: 6.25: 10101
529: 7.74: 10074
1080: 6.04: 10074
465: 5.69: 10030
999: 6.69: 10027
1107: 6.18: 9990
376: 7.93: 9988
1096: 7.17: 9984
9: 6.63: 9922
1347: 9.71: 9912
772: 8.5: 9894
277: 6.12: 9881
625: 8.31: 9821
1408: 7.49: 9805
1556: 5.88: 9805
865: 7.05: 9758
346: 7.24: 9752
718: 10.36: 9741
125: 7.51: 9737
878: 7.74: 9724
714: 6.02: 9720
547: 7.41: 9702
1527: 5.76: 9688
1210: 8.63: 9681
366: 5.73: 9676
1500: 6.5: 9640
1315: 10.88: 9612
1506: 7.0: 9604
914: 7.27: 9594
1383: 6.71: 9583
1222: 7.48: 9555
13: 5.98: 9540
572: 5.67: 9530
517: 5.6: 9516
1257: 9.62: 9505
992: 7.64: 9486
721: 7.86: 9485
600: 7.62: 9471
951: 8.05: 9457
545: 12.1: 9419
341: 6.64: 9418
108: 8.52: 9417
236: 8.72: 9412
492: 5.76: 9381
130: 6.41: 9366
186: 6.3: 9366
550: 5.91: 9360
1351: 10.9: 9352
685: 8.87: 9333
395: 5.57: 9324
42: 5.84: 9306
247: 9.52: 9256
755: 5.81: 9238
805: 7.33: 9216
442: 6.41: 9184
1432: 8.77: 9180
138: 6.67: 9180
607: 5.7: 9174
448: 8.21: 9086
382: 9.27: 9072
861: 5.89: 9065
987: 5.74: 9065
1478: 8.03: 9044
1363: 6.68: 9044
851: 7.76: 9030
303: 7.29: 9030
1491: 6.65: 9030
188: 6.09: 9030
1457: 6.5: 9018
154: 8.29: 9016
537: 6.51: 9010
1227: 6.05: 8992
1006: 6.15: 8988
1028: 6.83: 8960
375: 7.72: 8931
1277: 7.1: 8890
1429: 5.32: 8880
1550: 6.43: 8869
1174: 8.09: 8853
831: 11.39: 8848
988, 1281, 772, 1431: 0.04: 8788
1456: 9.82: 8784
58: 6.75: 8778
391: 9.95: 8777
722: 5.92: 8773
389: 8.59: 8771
953: 6.96: 8768
72: 6.27: 8768
503: 7.07: 8742
1029: 7.74: 8736
1375: 6.23: 8733
229: 5.65: 8697
344: 5.84: 8661
196: 6.48: 8645
1554: 6.84: 8636
962: 5.64: 8602
311: 9.57: 8600
100: 7.2: 8580
739: 7.43: 8568
797: 5.59: 8541
1483: 8.14: 8520
269: 6.89: 8520
312: 6.84: 8520
881: 5.5: 8507
356: 6.12: 8496
1472, 1389, 819, 1279, 430: 0.03: 8479
1061: 8.07: 8466
892: 5.87: 8463
661: 5.91: 8424
249: 5.31: 8421
1082: 6.63: 8404
1439: 10.25: 8400
479: 7.93: 8385
877: 7.74: 8374
650: 7.88: 8370
988, 1281, 772, 339: 0.08: 8358
848: 5.97: 8357
1293: 12.66: 8352
7: 6.25: 8352
1062: 6.91: 8330
30: 5.43: 8319
753: 7.11: 8315
273: 6.12: 8284
541: 7.95: 8272
932: 10.78: 8262
99: 5.7: 8260
1320: 6.09: 8246
578: 5.77: 8244
1323: 6.32: 8232
533: 6.06: 8228
988, 1281, 339, 1431: 0.04: 8216
145: 5.93: 8172
131: 6.53: 8160
912: 5.36: 8153
84: 5.34: 8149
522: 7.49: 8140
1463: 7.62: 8118
143: 6.11: 8118
1245: 5.87: 8116
78: 6.22: 8103
354: 5.44: 8100
1526: 8.73: 8085
730: 7.39: 8084
1148: 5.59: 8070
1247: 8.26: 8064
1353: 6.97: 8064
1362: 10.29: 8046
369: 6.54: 8042
1285: 5.48: 8041
363: 5.78: 8008
813: 9.09: 7967
1421: 5.41: 7952
969: 9.33: 7920
430: 6.55: 7920
1259: 6.53: 7918
648: 5.95: 7888
468: 7.26: 7830
1477: 5.39: 7830
433: 5.63: 7829
1205: 5.91: 7800
516: 6.93: 7770
237: 5.65: 7769
1115: 5.92: 7750
980: 7.98: 7740
227: 8.09: 7722
942: 7.26: 7722
1177: 6.06: 7700
792: 7.39: 7668
160: 6.35: 7668
1200: 5.35: 7667
413: 5.9: 7650
727: 6.95: 7640
657: 6.08: 7632
1399, 1426, 727, 1365: 0.11: 7632
285: 7.27: 7626
1451: 10.9: 7614
662: 7.35: 7585
1403: 5.37: 7564
1386: 6.86: 7544
617: 11.75: 7527
1267: 7.13: 7520
785: 6.64: 7517
913: 7.74: 7476
307: 9.83: 7400
434: 9.33: 7384
988, 1281, 772: 0.15: 7378
972: 6.09: 7359
1498: 5.75: 7353
1242: 6.68: 7326
898: 6.72: 7308
1154: 8.01: 7304
899: 6.16: 7296
324: 8.24: 7289
1489: 6.38: 7266
1360: 5.57: 7260
736: 5.57: 7242
1361: 7.32: 7240
1217: 9.21: 7239
988, 1281, 1431: 0.08: 7236
183: 5.65: 7230
455: 5.81: 7224
1411: 6.09: 7220
1472, 1389, 819, 1279: 0.17: 7219
1399, 1426, 727: 0.17: 7208
887: 7.14: 7200
988, 772: 0.23: 7188
1253: 6.38: 7182
1085: 5.94: 7168
1472, 819, 1279, 430: 0.06: 7164
1389, 819, 1279, 430: 0.06: 7159
1268: 8.66: 7150
874: 7.04: 7146
1155: 5.67: 7144
1412: 7.03: 7137
747: 6.76: 7137
566: 9.05: 7120
1134: 7.03: 7098
1079: 7.96: 7072
923: 7.16: 7056
1294: 8.07: 7052
406: 6.09: 7051
854: 7.45: 7040
1120: 5.47: 7011
1459: 6.57: 7007
404: 11.02: 7000
504: 6.15: 6992
201: 6.08: 6975
1216: 5.41: 6963
988, 1431: 0.9: 6949
1224: 9.67: 6944
52: 5.82: 6944
33: 6.62: 6936
919: 7.96: 6930
480: 6.54: 6927
760: 6.86: 6919
1156: 6.46: 6916
1180, 614: 0.36: 6912
1118, 502, 968, 415: 0.16: 6910
1043: 8.65: 6908
890, 1410, 1493, 191: 0.54: 6885
173: 8.06: 6864
689: 6.03: 6864
469: 8.32: 6837
932, 170, 387, 283, 193, 936, 1325: 0.04: 6807
988, 1281, 339: 0.19: 6806
872: 5.62: 6804
761: 5.56: 6792
443: 8.08: 6783
1485: 6.77: 6750
1321: 5.31: 6723
1358: 7.22: 6720
1376: 7.03: 6720
700: 6.1: 6695
515: 5.58: 6685
47: 5.32: 6682
715: 7.11: 6665
1130: 5.93: 6665
518: 6.12: 6664
767: 7.3: 6662
1145: 6.85: 6594
1426, 727: 0.67: 6589
436: 6.02: 6579
869: 5.8: 6572
988, 772, 1431: 0.05: 6572
96: 5.31: 6541
1410: 7.82: 6536
523: 6.52: 6536
449, 387, 283, 193, 936, 1325: 0.14: 6528
932, 170, 387, 283, 193, 936: 0.06: 6521
930: 6.18: 6512
1389, 907, 1500, 930: 0.06: 6501
918, 136, 702: 0.43: 6495
1297: 5.44: 6474
182: 6.43: 6440
527: 5.57: 6426
34: 6.04: 6421
1399, 1426, 1043, 1542, 727: 0.06: 6409
374: 7.83: 6407
725: 6.95: 6407
245: 5.83: 6407
1175: 5.64: 6401
958: 7.03: 6392
921: 6.36: 6345
325: 5.65: 6342
333: 6.59: 6336
107: 5.53: 6335
1075: 8.12: 6314
553: 6.12: 6303
819, 1279: 1.27: 6303
339: 6.93: 6300
1045, 812, 313, 1049, 695: 0.03: 6299
290: 5.74: 6284
1418: 7.36: 6279
1399, 1426, 1043, 217, 727: 0.03: 6274
931: 6.65: 6270
1472, 1389, 1279, 430: 0.04: 6263
1098: 8.58: 6255
1499: 8.53: 6255
1399, 1426, 1043, 727, 1365: 0.03: 6252
604: 9.04: 6250
449, 387, 283, 193, 936: 0.2: 6242
1511: 5.61: 6240
1072: 5.6: 6240
501: 9.87: 6227
563: 7.92: 6216
48: 6.89: 6204
31: 5.66: 6200
1162: 6.01: 6195
864: 6.43: 6189
140: 6.36: 6188
208: 5.69: 6175
410: 7.49: 6174
1281, 772, 339, 1431: 0.06: 6158
1210, 844, 1493, 245: 0.04: 6157
876: 6.02: 6156
779: 5.91: 6154
1522: 8.62: 6147
765: 5.88: 6144
988, 772, 339: 0.11: 6142
605: 5.71: 6136
1110, 261, 987: 0.43: 6118
1472, 1389, 819, 430: 0.13: 6111
1190: 7.06: 6110
1399, 1426, 1365: 0.7: 6104
1530: 6.78: 6096
457: 5.44: 6095
1437: 6.43: 6090
932, 170, 283, 193, 936, 1325: 0.05: 6084
1106: 6.88: 6073
1054: 5.67: 6068
1118, 502, 415: 0.23: 6014
158: 7.26: 6004
988, 339, 1431: 0.1: 6000
378: 10.08: 5994
1326: 5.64: 5985
1161, 1544, 202, 751, 9, 512: 0.08: 5970
285, 1094, 518: 0.38: 5969
1257, 558, 49, 1374: 0.13: 5969
528: 7.96: 5952
1379: 6.33: 5952
1389, 907, 541, 930: 0.14: 5942
1399, 1426, 1043, 727: 0.07: 5934
1338, 1049: 0.67: 5928
1399, 1426, 1043, 217, 1542, 1365: 0.13: 5921
1354: 5.58: 5920
911: 6.71: 5910
437: 6.5: 5910
1291, 941, 914, 958: 0.11: 5906
1472, 819, 1279: 0.32: 5904
1389, 819, 1279: 0.34: 5899
403: 5.49: 5890
299: 6.54: 5880
60: 5.72: 5852
932, 387, 283, 193, 936, 1325: 0.15: 5847
819, 1279, 430: 0.11: 5844
1359: 6.04: 5828
988, 1281: 0.36: 5826
613: 6.4: 5824
1147: 5.49: 5822
656, 323, 623: 0.47: 5815
932, 170, 283, 193, 936: 0.07: 5798
316: 6.43: 5764
968: 8.19: 5760
1438: 6.79: 5754
640, 104, 940: 0.12: 5746
1389, 907, 930, 25: 0.11: 5744
1067: 6.49: 5742
909: 5.81: 5735
25: 5.77: 5735
423: 5.72: 5733
222, 1497: 0.78: 5726
890, 191: 1.37: 5715
932, 170, 387, 193, 936, 1325: 0.1: 5715
1426, 217, 727: 0.17: 5697
932, 170, 387, 283, 193, 1325: 0.05: 5695
1398, 83: 0.04: 5695
1389, 907, 541, 25: 0.06: 5688
896, 530: 0.63: 5686
1399, 1426: 0.86: 5680
304, 813, 254, 1256, 1529: 0.06: 5672
1468: 8.08: 5670
1191: 5.68: 5670
304, 1485, 1256, 1529: 0.02: 5666
787: 7.64: 5662
965: 5.33: 5661
829: 5.6: 5642
1050: 8.06: 5632
663: 5.35: 5632
292: 6.44: 5611
934: 7.01: 5610
1436, 111, 937: 0.34: 5607
1399, 1426, 1043, 217, 1542: 0.16: 5603
618: 7.88: 5600
23: 6.81: 5600
51: 6.0: 5586
1399, 1426, 1043, 1542, 1365: 0.18: 5581
1397: 8.76: 5577
932, 387, 283, 193, 936: 0.21: 5561
489, 532: 0.25: 5557
95: 6.59: 5548
10: 7.07: 5538
268: 6.23: 5536
916, 379, 922: 0.78: 5532
1312: 6.5: 5508
260, 676, 986: 0.1: 5506
807: 6.3: 5499
789, 556: 1.1: 5496
1351, 625, 824, 835: 0.1: 5495
69, 435, 1290: 0.24: 5484
174: 6.66: 5472
1344: 5.46: 5470
1492: 6.48: 5467
750: 5.94: 5460
446, 80, 729: 0.42: 5460
1399, 1426, 1043, 217, 1365: 0.34: 5446
1045, 812, 1049, 695: 0.03: 5444
946, 154, 1136, 397, 1529: 0.09: 5442
204: 6.09: 5440
449, 387, 193, 936, 1325: 0.35: 5436
932, 170, 387, 193, 936: 0.14: 5429
836: 7.75: 5428
1161, 512: 0.62: 5423
449, 387, 283, 193, 1325: 0.18: 5416
1257, 49, 1374: 0.21: 5409
932, 170, 387, 283, 193: 0.07: 5409
1282, 1066: 1.17: 5408
491, 1227: 0.88: 5407
438: 6.58: 5404
342: 5.43: 5400
719: 5.82: 5390
1161, 202, 751, 9, 512: 0.13: 5386
225, 614: 0.05: 5380
1161, 1544, 751, 9, 512: 0.16: 5374
1095: 5.65: 5372
360: 5.96: 5371
1426, 756, 727: 0.03: 5370
202: 6.8: 5364
1389, 1279: 0.61: 5360
1508, 626, 1019, 963, 1329, 779: 0.03: 5346
175, 125, 275: 0.1: 5337
304, 813, 1256, 1529: 0.21: 5336
1399, 1426, 217, 727: 0.04: 5332
690: 6.21: 5328
1487: 9.64: 5320
178: 7.06: 5320
1426, 727, 1365: 0.3: 5318
1389, 907, 1500: 0.07: 5317
1161, 1544, 202, 9, 512: 0.09: 5313
890, 1410, 191: 0.61: 5301
907, 541, 930, 25: 0.06: 5294
808: 5.53: 5282
888: 11.38: 5280
1329: 6.36: 5280
495: 7.14: 5265
1399, 1426, 1043, 1542: 0.25: 5263
1544: 6.85: 5256
379, 446, 656, 13: 0.04: 5255
595: 5.41: 5254
662, 446, 656, 13: 0.07: 5250
1045, 812, 313, 1049: 0.12: 5243
1291, 941, 914: 0.22: 5226
1025: 5.56: 5213
840: 6.12: 5206
1338, 789, 1028, 373, 1248, 972: 0.21: 5196
1055: 7.18: 5184
1281, 772, 1431: 0.13: 5178
1506, 487: 0.93: 5167
560: 6.76: 5160
1225: 5.42: 5160
502, 968, 415: 0.28: 5152
449, 387, 193, 936: 0.48: 5150
385: 7.55: 5148
304, 254, 1485, 1529: 0.02: 5148
617, 321, 1077, 1096, 327, 1342: 0.03: 5143
988, 1281, 772, 1142, 339: 0.04: 5134
449, 387, 283, 193: 0.25: 5130
1399, 1426, 1043, 217: 0.4: 5128
419, 1511: 1.18: 5127
932, 283, 193, 936, 1325: 0.18: 5124
129: 7.28: 5115
928: 5.79: 5115
1210, 844, 1493: 0.27: 5114
937, 1047: 0.14: 5111
1399, 1426, 1043, 1365: 0.47: 5106
959: 5.4: 5100
1401: 5.65: 5084
1504: 6.28: 5082
1044: 5.7: 5080
1394, 80, 712, 569, 1321: 0.07: 5067
520, 326, 83, 1402, 676, 876: 0.05: 5062
952, 559: 0.69: 5060
1045, 529, 136, 519: 0.15: 5050
902: 6.52: 5043
623: 5.93: 5040
1179, 320: 0.05: 5038
946, 154, 1136, 1529: 0.4: 5037
85: 6.07: 5032
1373, 617, 1077, 1096, 1342: 0.02: 5019
652: 6.19: 5010
136, 702: 0.58: 5010
1373, 321, 1077, 1342: 0.03: 5008
1472, 1389, 1279: 0.25: 5003
1161, 1544, 202, 751, 512: 0.17: 5002
680: 5.86: 4998
397: 5.89: 4995
795: 8.18: 4992
932, 170, 193, 936, 1325: 0.13: 4992
1508, 626, 825, 1019, 963: 0.03: 4992
1426, 1043, 217, 727, 1365: 0.04: 4990
729: 5.85: 4988
520, 54, 953, 1163, 909: 0.03: 4984
1045, 270, 569, 47: 0.03: 4984
932, 170, 283, 193, 1325: 0.06: 4972
370: 7.38: 4968
932, 170, 387, 283, 936, 1325: 0.05: 4968
111, 937: 0.81: 4963
885: 5.42: 4962
1426, 1093: 0.46: 4959
284: 8.02: 4950
1372, 1212, 430, 1555: 0.14: 4948
1472, 1279, 430: 0.08: 4948
640, 324, 234: 0.28: 4947
1389, 1279, 430: 0.08: 4943
1218: 5.84: 4941
365, 53: 0.73: 4938
634, 497, 1050, 1200: 0.15: 4910
617, 321, 1077, 1096, 1342: 0.03: 4903
626: 8.6: 4902
1077, 721: 0.56: 4892
1499, 1056: 1.52: 4891
879: 5.65: 4884
285, 1094: 0.86: 4881
380: 8.84: 4880
890, 1410, 1493: 0.91: 4876
1118, 502, 968: 0.26: 4873
74: 5.75: 4867
907, 541, 1500: 0.03: 4867
789, 1248: 0.99: 4865
1325: 5.78: 4862
593: 5.51: 4862
1472, 170: 0.35: 4860
402: 6.3: 4851
1493, 164: 0.52: 4851
1472, 1389, 819: 0.43: 4851
1110, 534, 57, 1073: 0.03: 4839
932, 283, 193, 936: 0.25: 4838
1362, 946, 742: 0.09: 4827
304, 813, 254, 1529: 0.13: 4818
656, 13: 0.48: 4815
1389, 907, 930: 0.38: 4814
304, 1485, 1529: 0.05: 4812
883, 446, 80, 722, 729, 512: 0.14: 4806
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 4141
 Candidates count : 9700
 Sum utility : 8498406
 Algorithm run time : 13 seconds
 Peak memory usage : 0.24 MB
