minUtil: 2156
1. Pattern: ('40', '52'), ExpSup: 800.33, Utility: 290726
73. Pattern: ('11',), ExpSup: 1066.24, Utility: 58730
74. Pattern: ('64',), ExpSup: 1337.59, Utility: 56768
75. Pattern: ('50',), ExpSup: 965.12, Utility: 54140
76. Pattern: ('7',), ExpSup: 1535.24, Utility: 50790
77. Pattern: ('23',), ExpSup: 919.58, Utility: 48960
78. Pattern: ('5',), ExpSup: 1466.73, Utility: 48369
79. Pattern: ('31',), ExpSup: 1274.29, Utility: 41649
80. Pattern: ('17',), ExpSup: 1251.12, Utility: 40662
81. Pattern: ('36', '58'), ExpSup: 767.98, Utility: 33744
82. Pattern: ('58', '62'), ExpSup: 769.84, Utility: 33329
83. Pattern: ('15',), ExpSup: 1008.29, Utility: 32700
84. Pattern: ('19',), ExpSup: 958.74, Utility: 32565
85. Pattern: ('36', '62'), ExpSup: 735.64, Utility: 32252
86. Pattern: ('9',), ExpSup: 1446.46, Utility: 31818
87. Pattern: ('27',), ExpSup: 1098.98, Utility: 24398
88. Pattern: ('70',), ExpSup: 1005.64, Utility: 21824
89. Pattern: ('58',), ExpSup: 1595.58, Utility: 17462
90. Pattern: ('36',), ExpSup: 1530.49, Utility: 16934
91. Pattern: ('62',), ExpSup: 1537.33, Utility: 16784
92. Pattern: ('25',), ExpSup: 1445.46, Utility: 15465
93. Pattern: ('42',), ExpSup: 1355.91, Utility: 14849
94. Pattern: ('44',), ExpSup: 1325.93, Utility: 14261
95. Pattern: ('46',), ExpSup: 1284.58, Utility: 14045
96. Pattern: ('74',), ExpSup: 1237.31, Utility: 13298
97. Pattern: ('21',), ExpSup: 1128.59, Utility: 12263
98. Pattern: ('38',), ExpSup: 1101.41, Utility: 12130
99. Pattern: ('54',), ExpSup: 1105.31, Utility: 11965
100. Pattern: ('13',), ExpSup: 860.84, Utility: 9269
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 3196
 Candidates count : 0
 Total utility : 10579728
 Algorithm run time : 332 seconds
 Peak memory usage : 122.32 MB
