minUtil: 2156
1. Pattern: ('40', '52'), ExpSup: 800.33, Utility: 290726
72. Pattern: ('29', '3'), ExpSup: 708.45, Utility: 123288
73. Pattern: ('3', '60'), ExpSup: 688.27, Utility: 121992
74. Pattern: ('56', '72'), ExpSup: 547.29, Utility: 121376
75. Pattern: ('52', '58'), ExpSup: 804.84, Utility: 120951
76. Pattern: ('17', '52'), ExpSup: 629.95, Utility: 120894
77. Pattern: ('25', '48'), ExpSup: 690.07, Utility: 119915
78. Pattern: ('34', '9'), ExpSup: 682.1, Utility: 119678
79. Pattern: ('3', '72'), ExpSup: 542.39, Utility: 119164
80. Pattern: ('3', '56'), ExpSup: 674.81, Utility: 118028
81. Pattern: ('29', '7'), ExpSup: 767.86, Utility: 117944
82. Pattern: ('31', '34'), ExpSup: 593.91, Utility: 117591
83. Pattern: ('36', '52'), ExpSup: 764.38, Utility: 117430
84. Pattern: ('3', '66'), ExpSup: 662.17, Utility: 117072
85. Pattern: ('64', '72'), ExpSup: 540.83, Utility: 116362
86. Pattern: ('17', '34'), ExpSup: 583.64, Utility: 115869
87. Pattern: ('52', '62'), ExpSup: 781.35, Utility: 115661
88. Pattern: ('60', '7'), ExpSup: 752.4, Utility: 115497
89. Pattern: ('34', '58'), ExpSup: 734.32, Utility: 115440
90. Pattern: ('48',), ExpSup: 1500.86, Utility: 115367
91. Pattern: ('29', '64'), ExpSup: 661.85, Utility: 113308
92. Pattern: ('29', '5'), ExpSup: 739.46, Utility: 112623
93. Pattern: ('56', '7'), ExpSup: 721.02, Utility: 112322
94. Pattern: ('60', '64'), ExpSup: 659.26, Utility: 112012
95. Pattern: ('34', '36'), ExpSup: 716.91, Utility: 111964
96. Pattern: ('42', '48'), ExpSup: 650.48, Utility: 111887
97. Pattern: ('66', '7'), ExpSup: 727.27, Utility: 111671
98. Pattern: ('7', '72'), ExpSup: 567.94, Utility: 111501
99. Pattern: ('5', '60'), ExpSup: 725.51, Utility: 110905
100. Pattern: ('34', '62'), ExpSup: 714.96, Utility: 110832
101. Pattern: ('5', '72'), ExpSup: 552.47, Utility: 108591
102. Pattern: ('56', '64'), ExpSup: 634.6, Utility: 108348
103. Pattern: ('64', '66'), ExpSup: 630.04, Utility: 108260
104. Pattern: ('5', '66'), ExpSup: 703.33, Utility: 108091
105. Pattern: ('25', '52'), ExpSup: 731.26, Utility: 107984
106. Pattern: ('5', '56'), ExpSup: 689.09, Utility: 106663
107. Pattern: ('44', '48'), ExpSup: 628.53, Utility: 106483
108. Pattern: ('3', '7'), ExpSup: 676.28, Utility: 105239
109. Pattern: ('46', '48'), ExpSup: 597.25, Utility: 104640
110. Pattern: ('52',), ExpSup: 1616.54, Utility: 104178
111. Pattern: ('25', '34'), ExpSup: 676.03, Utility: 103024
112. Pattern: ('42', '52'), ExpSup: 688.23, Utility: 102622
113. Pattern: ('3', '64'), ExpSup: 600.44, Utility: 101888
114. Pattern: ('3', '5'), ExpSup: 659.41, Utility: 99860
115. Pattern: ('34',), ExpSup: 1493.64, Utility: 99330
116. Pattern: ('34', '42'), ExpSup: 639.83, Utility: 99078
117. Pattern: ('44', '52'), ExpSup: 667.7, Utility: 98857
118. Pattern: ('46', '52'), ExpSup: 650.66, Utility: 96676
119. Pattern: ('48', '74'), ExpSup: 588.19, Utility: 96589
120. Pattern: ('31', '60'), ExpSup: 636.0, Utility: 96146
121. Pattern: ('29', '31'), ExpSup: 635.75, Utility: 95917
122. Pattern: ('64', '7'), ExpSup: 635.34, Utility: 95825
123. Pattern: ('17', '29'), ExpSup: 628.98, Utility: 94380
124. Pattern: ('34', '44'), ExpSup: 613.63, Utility: 94149
125. Pattern: ('29', '9'), ExpSup: 720.07, Utility: 94064
126. Pattern: ('5', '64'), ExpSup: 630.61, Utility: 93701
127. Pattern: ('5', '7'), ExpSup: 713.08, Utility: 93495
128. Pattern: ('17', '60'), ExpSup: 606.34, Utility: 93374
129. Pattern: ('60', '9'), ExpSup: 702.33, Utility: 92804
130. Pattern: ('31', '66'), ExpSup: 615.35, Utility: 92680
131. Pattern: ('34', '46'), ExpSup: 596.46, Utility: 92120
132. Pattern: ('52', '74'), ExpSup: 624.53, Utility: 91129
133. Pattern: ('31', '56'), ExpSup: 593.05, Utility: 91111
134. Pattern: ('56', '9'), ExpSup: 688.26, Utility: 91078
135. Pattern: ('17', '56'), ExpSup: 593.84, Utility: 90871
136. Pattern: ('58', '72'), ExpSup: 587.43, Utility: 90250
137. Pattern: ('66', '9'), ExpSup: 670.36, Utility: 89714
138. Pattern: ('3', '31'), ExpSup: 584.39, Utility: 89594
139. Pattern: ('17', '66'), ExpSup: 586.04, Utility: 89435
140. Pattern: ('29', '58'), ExpSup: 794.58, Utility: 87031
141. Pattern: ('34', '74'), ExpSup: 584.6, Utility: 86946
142. Pattern: ('36', '72'), ExpSup: 567.77, Utility: 86942
143. Pattern: ('62', '72'), ExpSup: 568.8, Utility: 86521
144. Pattern: ('58', '60'), ExpSup: 784.78, Utility: 85721
145. Pattern: ('17', '3'), ExpSup: 562.07, Utility: 85238
146. Pattern: ('29', '36'), ExpSup: 765.95, Utility: 84385
147. Pattern: ('42', '72'), ExpSup: 544.27, Utility: 84056
148. Pattern: ('3', '9'), ExpSup: 640.82, Utility: 83696
149. Pattern: ('31', '64'), ExpSup: 555.28, Utility: 83623
150. Pattern: ('29', '62'), ExpSup: 772.37, Utility: 83526
151. Pattern: ('36', '60'), ExpSup: 750.51, Utility: 83055
152. Pattern: ('58', '66'), ExpSup: 747.26, Utility: 82834
153. Pattern: ('56', '58'), ExpSup: 759.72, Utility: 82803
154. Pattern: ('60', '62'), ExpSup: 762.34, Utility: 82302
155. Pattern: ('25', '72'), ExpSup: 538.97, Utility: 80836
156. Pattern: ('31', '7'), ExpSup: 609.45, Utility: 80313
157. Pattern: ('36', '66'), ExpSup: 709.93, Utility: 80135
158. Pattern: ('36', '56'), ExpSup: 727.83, Utility: 80092
159. Pattern: ('56', '62'), ExpSup: 730.52, Utility: 79966
160. Pattern: ('62', '66'), ExpSup: 725.14, Utility: 79147
161. Pattern: ('17', '7'), ExpSup: 598.52, Utility: 78828
162. Pattern: ('72',), ExpSup: 1177.8, Utility: 77802
163. Pattern: ('25', '29'), ExpSup: 733.79, Utility: 77685
164. Pattern: ('31', '5'), ExpSup: 601.28, Utility: 77079
165. Pattern: ('25', '60'), ExpSup: 715.42, Utility: 77075
166. Pattern: ('3', '58'), ExpSup: 706.12, Utility: 76772
167. Pattern: ('64', '9'), ExpSup: 594.91, Utility: 76712
168. Pattern: ('7', '9'), ExpSup: 687.7, Utility: 75723
169. Pattern: ('68',), ExpSup: 1003.26, Utility: 75341
170. Pattern: ('25', '66'), ExpSup: 681.41, Utility: 74411
171. Pattern: ('3', '36'), ExpSup: 679.53, Utility: 74325
172. Pattern: ('3', '62'), ExpSup: 675.43, Utility: 73985
173. Pattern: ('29', '42'), ExpSup: 680.22, Utility: 73789
174. Pattern: ('17', '5'), ExpSup: 561.22, Utility: 73545
175. Pattern: ('25', '56'), ExpSup: 682.7, Utility: 73534
176. Pattern: ('42', '60'), ExpSup: 676.51, Utility: 73376
177. Pattern: ('5', '9'), ExpSup: 665.83, Utility: 72391
178. Pattern: ('42', '66'), ExpSup: 652.23, Utility: 71539
179. Pattern: ('29', '44'), ExpSup: 660.91, Utility: 70749
180. Pattern: ('42', '56'), ExpSup: 643.85, Utility: 70665
181. Pattern: ('58', '64'), ExpSup: 657.97, Utility: 70620
182. Pattern: ('29',), ExpSup: 1598.92, Utility: 70088
183. Pattern: ('29', '46'), ExpSup: 642.56, Utility: 69514
184. Pattern: ('44', '60'), ExpSup: 652.46, Utility: 69435
185. Pattern: ('60',), ExpSup: 1565.64, Utility: 68908
186. Pattern: ('36', '64'), ExpSup: 641.43, Utility: 68775
187. Pattern: ('46', '60'), ExpSup: 630.42, Utility: 68407
188. Pattern: ('62', '64'), ExpSup: 641.93, Utility: 68111
189. Pattern: ('25', '3'), ExpSup: 623.94, Utility: 67954
190. Pattern: ('44', '56'), ExpSup: 628.92, Utility: 67713
191. Pattern: ('58', '7'), ExpSup: 765.83, Utility: 67239
192. Pattern: ('44', '66'), ExpSup: 609.19, Utility: 66997
193. Pattern: ('56',), ExpSup: 1513.93, Utility: 66780
194. Pattern: ('46', '66'), ExpSup: 608.12, Utility: 66721
195. Pattern: ('66',), ExpSup: 1498.92, Utility: 66644
196. Pattern: ('42', '64'), ExpSup: 628.12, Utility: 66152
197. Pattern: ('46', '56'), ExpSup: 604.82, Utility: 66085
198. Pattern: ('3', '42'), ExpSup: 604.76, Utility: 65633
199. Pattern: ('1',), ExpSup: 832.29, Utility: 65471
200. Pattern: ('29', '74'), ExpSup: 613.71, Utility: 65434
201. Pattern: ('36', '7'), ExpSup: 736.85, Utility: 65158
202. Pattern: ('56', '74'), ExpSup: 599.4, Utility: 64482
203. Pattern: ('62', '7'), ExpSup: 731.07, Utility: 64443
204. Pattern: ('5', '58'), ExpSup: 736.2, Utility: 64234
205. Pattern: ('60', '74'), ExpSup: 590.1, Utility: 64078
206. Pattern: ('25', '64'), ExpSup: 601.92, Utility: 62889
207. Pattern: ('36', '5'), ExpSup: 707.41, Utility: 62205
208. Pattern: ('17', '9'), ExpSup: 573.65, Utility: 62169
209. Pattern: ('31', '9'), ExpSup: 576.09, Utility: 62063
210. Pattern: ('5', '62'), ExpSup: 708.88, Utility: 61882
211. Pattern: ('3',), ExpSup: 1407.44, Utility: 61608
212. Pattern: ('3', '46'), ExpSup: 561.56, Utility: 61011
213. Pattern: ('66', '74'), ExpSup: 571.5, Utility: 60991
214. Pattern: ('3', '44'), ExpSup: 572.11, Utility: 60943
215. Pattern: ('25', '7'), ExpSup: 689.09, Utility: 59938
216. Pattern: ('44', '64'), ExpSup: 571.09, Utility: 59379
217. Pattern: ('11',), ExpSup: 1066.24, Utility: 58730
218. Pattern: ('46', '64'), ExpSup: 542.52, Utility: 57437
219. Pattern: ('25', '5'), ExpSup: 656.29, Utility: 57086
220. Pattern: ('42', '7'), ExpSup: 648.95, Utility: 56926
221. Pattern: ('64',), ExpSup: 1337.59, Utility: 56768
222. Pattern: ('42', '5'), ExpSup: 612.15, Utility: 55630
223. Pattern: ('3', '74'), ExpSup: 521.62, Utility: 55406
224. Pattern: ('31', '58'), ExpSup: 630.18, Utility: 55149
225. Pattern: ('44', '7'), ExpSup: 636.1, Utility: 54652
226. Pattern: ('50',), ExpSup: 965.12, Utility: 54140
227. Pattern: ('17', '58'), ExpSup: 622.77, Utility: 54101
228. Pattern: ('31', '36'), ExpSup: 611.47, Utility: 53422
229. Pattern: ('46', '7'), ExpSup: 616.25, Utility: 53348
230. Pattern: ('44', '5'), ExpSup: 620.76, Utility: 53341
231. Pattern: ('31', '62'), ExpSup: 602.29, Utility: 52712
232. Pattern: ('17', '36'), ExpSup: 584.25, Utility: 52175
233. Pattern: ('46', '5'), ExpSup: 588.84, Utility: 51865
234. Pattern: ('17', '62'), ExpSup: 593.59, Utility: 51403
235. Pattern: ('7',), ExpSup: 1535.24, Utility: 50790
236. Pattern: ('7', '74'), ExpSup: 590.57, Utility: 50739
237. Pattern: ('31', '42'), ExpSup: 576.46, Utility: 49457
238. Pattern: ('23',), ExpSup: 919.58, Utility: 48960
239. Pattern: ('25', '31'), ExpSup: 566.32, Utility: 48756
240. Pattern: ('5',), ExpSup: 1466.73, Utility: 48369
241. Pattern: ('5', '74'), ExpSup: 563.51, Utility: 48294
242. Pattern: ('58', '9'), ExpSup: 720.18, Utility: 47296
243. Pattern: ('17', '25'), ExpSup: 559.2, Utility: 47079
244. Pattern: ('17', '42'), ExpSup: 533.76, Utility: 45714
245. Pattern: ('36', '9'), ExpSup: 683.24, Utility: 45683
246. Pattern: ('31', '44'), ExpSup: 530.68, Utility: 45378
247. Pattern: ('62', '9'), ExpSup: 692.12, Utility: 45217
248. Pattern: ('31',), ExpSup: 1274.29, Utility: 41649
249. Pattern: ('25', '9'), ExpSup: 647.8, Utility: 41598
250. Pattern: ('17',), ExpSup: 1251.12, Utility: 40662
251. Pattern: ('42', '9'), ExpSup: 605.77, Utility: 40290
252. Pattern: ('44', '9'), ExpSup: 603.07, Utility: 38704
253. Pattern: ('46', '9'), ExpSup: 572.93, Utility: 37634
254. Pattern: ('74', '9'), ExpSup: 573.91, Utility: 36189
255. Pattern: ('36', '58'), ExpSup: 767.98, Utility: 33744
256. Pattern: ('58', '62'), ExpSup: 769.84, Utility: 33329
257. Pattern: ('15',), ExpSup: 1008.29, Utility: 32700
258. Pattern: ('19',), ExpSup: 958.74, Utility: 32565
259. Pattern: ('36', '62'), ExpSup: 735.64, Utility: 32252
260. Pattern: ('9',), ExpSup: 1446.46, Utility: 31818
261. Pattern: ('25', '58'), ExpSup: 716.42, Utility: 30961
262. Pattern: ('25', '36'), ExpSup: 699.95, Utility: 30388
263. Pattern: ('25', '62'), ExpSup: 697.0, Utility: 29738
264. Pattern: ('42', '58'), ExpSup: 682.92, Utility: 29567
265. Pattern: ('36', '42'), ExpSup: 649.16, Utility: 28659
266. Pattern: ('44', '58'), ExpSup: 658.05, Utility: 28302
267. Pattern: ('42', '62'), ExpSup: 650.04, Utility: 28297
268. Pattern: ('46', '58'), ExpSup: 638.37, Utility: 27774
269. Pattern: ('36', '44'), ExpSup: 636.1, Utility: 27450
270. Pattern: ('44', '62'), ExpSup: 643.15, Utility: 27376
271. Pattern: ('36', '46'), ExpSup: 617.5, Utility: 26984
272. Pattern: ('46', '62'), ExpSup: 621.29, Utility: 26646
273. Pattern: ('58', '74'), ExpSup: 617.98, Utility: 26237
274. Pattern: ('25', '42'), ExpSup: 611.6, Utility: 26177
275. Pattern: ('62', '74'), ExpSup: 598.58, Utility: 25672
276. Pattern: ('25', '44'), ExpSup: 604.42, Utility: 25613
277. Pattern: ('36', '74'), ExpSup: 593.11, Utility: 25246
278. Pattern: ('25', '46'), ExpSup: 582.0, Utility: 24911
279. Pattern: ('42', '44'), ExpSup: 572.47, Utility: 24538
280. Pattern: ('27',), ExpSup: 1098.98, Utility: 24398
281. Pattern: ('42', '46'), ExpSup: 556.1, Utility: 24096
282. Pattern: ('25', '74'), ExpSup: 561.49, Utility: 23488
283. Pattern: ('44', '46'), ExpSup: 544.2, Utility: 22992
284. Pattern: ('44', '74'), ExpSup: 526.0, Utility: 22045
285. Pattern: ('70',), ExpSup: 1005.64, Utility: 21824
286. Pattern: ('16',), ExpSup: 592.57, Utility: 18978
287. Pattern: ('58',), ExpSup: 1595.58, Utility: 17462
288. Pattern: ('36',), ExpSup: 1530.49, Utility: 16934
289. Pattern: ('62',), ExpSup: 1537.33, Utility: 16784
290. Pattern: ('25',), ExpSup: 1445.46, Utility: 15465
291. Pattern: ('42',), ExpSup: 1355.91, Utility: 14849
292. Pattern: ('44',), ExpSup: 1325.93, Utility: 14261
293. Pattern: ('46',), ExpSup: 1284.58, Utility: 14045
294. Pattern: ('74',), ExpSup: 1237.31, Utility: 13298
295. Pattern: ('21',), ExpSup: 1128.59, Utility: 12263
296. Pattern: ('38',), ExpSup: 1101.41, Utility: 12130
297. Pattern: ('54',), ExpSup: 1105.31, Utility: 11965
298. Pattern: ('12',), ExpSup: 541.74, Utility: 11854
299. Pattern: ('13',), ExpSup: 860.84, Utility: 9269
300. Pattern: ('20',), ExpSup: 602.48, Utility: 6792
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 3196
 Candidates count : 0
 Total utility : 27961624
 Algorithm run time : 1541 seconds
 Peak memory usage : 298.98 MB
