minUtil: 2156
1. Pattern: ('40', '48', '52'), ExpSup: 378.53, Utility: 385381
161. Pattern: ('29', '48', '5'), ExpSup: 341.87, Utility: 210490
162. Pattern: ('48', '5', '60'), ExpSup: 345.91, Utility: 209065
163. Pattern: ('25', '48', '52'), ExpSup: 347.51, Utility: 208086
164. Pattern: ('48', '56', '7'), ExpSup: 334.39, Utility: 208077
165. Pattern: ('36', '40', '9'), ExpSup: 334.12, Utility: 207679
166. Pattern: ('34', '52', '9'), ExpSup: 342.04, Utility: 207552
167. Pattern: ('34', '56', '66'), ExpSup: 328.71, Utility: 207526
168. Pattern: ('29', '5', '52'), ExpSup: 375.38, Utility: 207390
169. Pattern: ('40', '62', '9'), ExpSup: 338.98, Utility: 207074
170. Pattern: ('29', '34', '7'), ExpSup: 365.85, Utility: 206963
171. Pattern: ('34', '48', '62'), ExpSup: 332.89, Utility: 206600
172. Pattern: ('34', '36', '52'), ExpSup: 357.29, Utility: 206576
173. Pattern: ('52', '56', '7'), ExpSup: 366.73, Utility: 206467
174. Pattern: ('36', '40', '62'), ExpSup: 368.02, Utility: 205903
175. Pattern: ('52', '66', '7'), ExpSup: 368.23, Utility: 205156
176. Pattern: ('40', '58'), ExpSup: 790.04, Utility: 205017
177. Pattern: ('3', '52', '56'), ExpSup: 349.78, Utility: 204976
178. Pattern: ('29', '3', '34'), ExpSup: 333.87, Utility: 204680
179. Pattern: ('5', '52', '60'), ExpSup: 373.09, Utility: 204434
180. Pattern: ('34', '52', '62'), ExpSup: 361.99, Utility: 204089
181. Pattern: ('48', '5', '66'), ExpSup: 329.67, Utility: 203953
182. Pattern: ('3', '52', '66'), ExpSup: 338.87, Utility: 203718
183. Pattern: ('34', '60', '7'), ExpSup: 359.68, Utility: 203096
184. Pattern: ('29', '34', '5'), ExpSup: 349.3, Utility: 202547
185. Pattern: ('34', '48'), ExpSup: 699.74, Utility: 201383
186. Pattern: ('40', '9'), ExpSup: 704.32, Utility: 200832
187. Pattern: ('34', '5', '60'), ExpSup: 344.78, Utility: 199681
188. Pattern: ('5', '52', '66'), ExpSup: 357.76, Utility: 198732
189. Pattern: ('36', '40'), ExpSup: 761.32, Utility: 198648
190. Pattern: ('25', '40', '58'), ExpSup: 352.0, Utility: 197913
191. Pattern: ('34', '52'), ExpSup: 750.57, Utility: 197472
192. Pattern: ('40', '62'), ExpSup: 764.28, Utility: 197416
193. Pattern: ('29', '52', '64'), ExpSup: 338.11, Utility: 197306
194. Pattern: ('34', '56', '7'), ExpSup: 342.13, Utility: 196971
195. Pattern: ('5', '52', '56'), ExpSup: 356.23, Utility: 196758
196. Pattern: ('34', '66', '7'), ExpSup: 343.49, Utility: 196627
197. Pattern: ('29', '60', '66'), ExpSup: 371.66, Utility: 196620
198. Pattern: ('29', '48', '58'), ExpSup: 372.15, Utility: 195266
199. Pattern: ('52', '60', '64'), ExpSup: 340.74, Utility: 195006
200. Pattern: ('48', '58', '60'), ExpSup: 374.97, Utility: 194450
201. Pattern: ('34', '5', '66'), ExpSup: 334.55, Utility: 194004
202. Pattern: ('42', '48', '52'), ExpSup: 330.61, Utility: 194000
203. Pattern: ('3', '52', '7'), ExpSup: 339.47, Utility: 193959
204. Pattern: ('29', '56', '60'), ExpSup: 368.5, Utility: 193480
205. Pattern: ('25', '36', '40'), ExpSup: 346.01, Utility: 193309
206. Pattern: ('29', '36', '48'), ExpSup: 363.76, Utility: 193128
207. Pattern: ('36', '48', '60'), ExpSup: 357.51, Utility: 192378
208. Pattern: ('25', '40', '62'), ExpSup: 348.92, Utility: 190520
209. Pattern: ('31', '40'), ExpSup: 630.06, Utility: 190050
210. Pattern: ('25', '34', '52'), ExpSup: 337.49, Utility: 189973
211. Pattern: ('29', '52', '58'), ExpSup: 399.28, Utility: 189208
212. Pattern: ('48', '5', '7'), ExpSup: 332.5, Utility: 189017
213. Pattern: ('52', '56', '64'), ExpSup: 328.08, Utility: 188852
214. Pattern: ('40',), ExpSup: 1579.27, Utility: 188760
215. Pattern: ('29', '48', '9'), ExpSup: 335.47, Utility: 188607
216. Pattern: ('40', '42', '58'), ExpSup: 340.24, Utility: 188559
217. Pattern: ('48', '60', '9'), ExpSup: 333.87, Utility: 187966
218. Pattern: ('48', '58', '66'), ExpSup: 353.15, Utility: 187656
219. Pattern: ('52', '58', '60'), ExpSup: 398.56, Utility: 186894
220. Pattern: ('17', '40'), ExpSup: 618.04, Utility: 186881
221. Pattern: ('29', '48', '62'), ExpSup: 356.35, Utility: 186444
222. Pattern: ('29', '56', '66'), ExpSup: 353.8, Utility: 186108
223. Pattern: ('56', '60', '66'), ExpSup: 352.69, Utility: 185820
224. Pattern: ('48', '60', '62'), ExpSup: 358.89, Utility: 185735
225. Pattern: ('29', '52', '9'), ExpSup: 360.19, Utility: 185704
226. Pattern: ('36', '48', '66'), ExpSup: 341.65, Utility: 185602
227. Pattern: ('5', '52', '7'), ExpSup: 359.48, Utility: 185259
228. Pattern: ('48', '56', '58'), ExpSup: 355.3, Utility: 184325
229. Pattern: ('3', '5', '52'), ExpSup: 334.08, Utility: 184215
230. Pattern: ('25', '40'), ExpSup: 712.24, Utility: 183618
231. Pattern: ('52', '60', '9'), ExpSup: 358.21, Utility: 183408
232. Pattern: ('29', '36', '52'), ExpSup: 376.83, Utility: 183387
233. Pattern: ('11', '40'), ExpSup: 524.87, Utility: 182648
234. Pattern: ('36', '48', '56'), ExpSup: 341.04, Utility: 182346
235. Pattern: ('29', '3', '60'), ExpSup: 343.58, Utility: 182252
236. Pattern: ('34', '5', '7'), ExpSup: 344.28, Utility: 181068
237. Pattern: ('36', '52', '60'), ExpSup: 377.32, Utility: 181047
238. Pattern: ('29', '52', '62'), ExpSup: 391.99, Utility: 181017
239. Pattern: ('29', '34', '58'), ExpSup: 366.14, Utility: 180860
240. Pattern: ('29', '60', '7'), ExpSup: 376.87, Utility: 180819
241. Pattern: ('52', '56', '58'), ExpSup: 389.51, Utility: 180271
242. Pattern: ('52', '58', '66'), ExpSup: 377.53, Utility: 180201
243. Pattern: ('29', '48'), ExpSup: 744.94, Utility: 179722
244. Pattern: ('52', '56', '9'), ExpSup: 349.23, Utility: 179300
245. Pattern: ('48', '60'), ExpSup: 741.31, Utility: 178947
246. Pattern: ('48', '62', '66'), ExpSup: 338.97, Utility: 178828
247. Pattern: ('52', '60', '62'), ExpSup: 390.72, Utility: 178783
248. Pattern: ('29', '34', '9'), ExpSup: 342.04, Utility: 178492
249. Pattern: ('34', '58', '60'), ExpSup: 360.31, Utility: 178151
250. Pattern: ('25', '29', '48'), ExpSup: 348.21, Utility: 178129
251. Pattern: ('25', '48', '60'), ExpSup: 345.1, Utility: 177858
252. Pattern: ('48', '56', '62'), ExpSup: 334.68, Utility: 177757
253. Pattern: ('52', '66', '9'), ExpSup: 339.32, Utility: 176736
254. Pattern: ('29', '3', '56'), ExpSup: 338.3, Utility: 176200
255. Pattern: ('34', '60', '9'), ExpSup: 330.52, Utility: 176168
256. Pattern: ('29', '34', '36'), ExpSup: 360.53, Utility: 175497
257. Pattern: ('3', '60', '66'), ExpSup: 329.34, Utility: 175456
258. Pattern: ('29', '56', '7'), ExpSup: 364.28, Utility: 175354
259. Pattern: ('29', '3', '66'), ExpSup: 332.61, Utility: 175136
260. Pattern: ('40', '42'), ExpSup: 670.8, Utility: 174811
261. Pattern: ('29', '66', '7'), ExpSup: 361.55, Utility: 174493
262. Pattern: ('36', '52', '56'), ExpSup: 367.78, Utility: 174448
263. Pattern: ('36', '52', '66'), ExpSup: 354.25, Utility: 174267
264. Pattern: ('3', '56', '60'), ExpSup: 330.66, Utility: 174256
265. Pattern: ('52', '56', '62'), ExpSup: 374.6, Utility: 173982
266. Pattern: ('3', '48', '58'), ExpSup: 329.98, Utility: 173964
267. Pattern: ('29', '34', '62'), ExpSup: 359.84, Utility: 173770
268. Pattern: ('60', '66', '7'), ExpSup: 361.56, Utility: 173726
269. Pattern: ('29', '5', '60'), ExpSup: 363.89, Utility: 173424
270. Pattern: ('48', '58', '7'), ExpSup: 361.76, Utility: 173196
271. Pattern: ('29', '52'), ExpSup: 802.29, Utility: 172766
272. Pattern: ('48', '66'), ExpSup: 706.37, Utility: 172697
273. Pattern: ('34', '36', '60'), ExpSup: 356.85, Utility: 172658
274. Pattern: ('34', '58', '66'), ExpSup: 341.76, Utility: 172482
275. Pattern: ('56', '60', '7'), ExpSup: 350.44, Utility: 171979
276. Pattern: ('52', '62', '66'), ExpSup: 371.29, Utility: 171804
277. Pattern: ('34', '56', '58'), ExpSup: 347.19, Utility: 171407
278. Pattern: ('36', '48', '7'), ExpSup: 349.61, Utility: 171332
279. Pattern: ('34', '60', '62'), ExpSup: 354.69, Utility: 171186
280. Pattern: ('52', '60'), ExpSup: 797.15, Utility: 170582
281. Pattern: ('48', '56'), ExpSup: 700.91, Utility: 169695
282. Pattern: ('5', '60', '66'), ExpSup: 355.54, Utility: 168937
283. Pattern: ('25', '29', '52'), ExpSup: 370.09, Utility: 168932
284. Pattern: ('29', '5', '66'), ExpSup: 355.16, Utility: 168785
285. Pattern: ('3', '52', '58'), ExpSup: 361.49, Utility: 167984
286. Pattern: ('25', '52', '60'), ExpSup: 366.74, Utility: 167886
287. Pattern: ('40', '44'), ExpSup: 652.34, Utility: 167125
288. Pattern: ('34', '36', '66'), ExpSup: 330.15, Utility: 166963
289. Pattern: ('29', '5', '56'), ExpSup: 347.76, Utility: 166625
290. Pattern: ('52', '58', '7'), ExpSup: 383.86, Utility: 166437
291. Pattern: ('3', '52', '9'), ExpSup: 327.5, Utility: 166008
292. Pattern: ('34', '56', '62'), ExpSup: 336.17, Utility: 165969
293. Pattern: ('34', '36', '56'), ExpSup: 338.86, Utility: 165884
294. Pattern: ('48', '5', '58'), ExpSup: 348.54, Utility: 165844
295. Pattern: ('56', '66', '7'), ExpSup: 342.58, Utility: 165431
296. Pattern: ('34', '62', '66'), ExpSup: 336.09, Utility: 165395
297. Pattern: ('29', '34'), ExpSup: 748.84, Utility: 165212
298. Pattern: ('48', '62', '7'), ExpSup: 338.87, Utility: 165032
299. Pattern: ('29', '3', '7'), ExpSup: 341.49, Utility: 164915
300. Pattern: ('52', '56'), ExpSup: 776.21, Utility: 164720
301. Pattern: ('52', '66'), ExpSup: 759.17, Utility: 164458
302. Pattern: ('52', '7', '9'), ExpSup: 344.82, Utility: 164110
303. Pattern: ('36', '48', '5'), ExpSup: 336.71, Utility: 164102
304. Pattern: ('5', '56', '60'), ExpSup: 339.66, Utility: 163898
305. Pattern: ('40', '46'), ExpSup: 631.52, Utility: 163761
306. Pattern: ('3', '60', '7'), ExpSup: 332.43, Utility: 162841
307. Pattern: ('34', '60'), ExpSup: 732.14, Utility: 162688
308. Pattern: ('3', '36', '52'), ExpSup: 341.53, Utility: 162511
309. Pattern: ('25', '52', '66'), ExpSup: 347.74, Utility: 161892
310. Pattern: ('25', '29', '34'), ExpSup: 344.29, Utility: 161394
311. Pattern: ('36', '52', '7'), ExpSup: 365.61, Utility: 161217
312. Pattern: ('3', '52', '62'), ExpSup: 348.18, Utility: 161108
313. Pattern: ('3', '34', '58'), ExpSup: 327.81, Utility: 160591
314. Pattern: ('29', '42', '52'), ExpSup: 341.86, Utility: 160320
315. Pattern: ('25', '52', '56'), ExpSup: 349.27, Utility: 160298
316. Pattern: ('3', '48'), ExpSup: 653.87, Utility: 160071
317. Pattern: ('25', '34', '60'), ExpSup: 334.79, Utility: 159868
318. Pattern: ('5', '52', '58'), ExpSup: 375.18, Utility: 159640
319. Pattern: ('42', '52', '60'), ExpSup: 345.34, Utility: 159517
320. Pattern: ('48', '5', '62'), ExpSup: 330.16, Utility: 159122
321. Pattern: ('5', '56', '66'), ExpSup: 327.72, Utility: 159033
322. Pattern: ('34', '58', '7'), ExpSup: 360.11, Utility: 158868
323. Pattern: ('52', '62', '7'), ExpSup: 367.34, Utility: 158817
324. Pattern: ('48', '7'), ExpSup: 719.89, Utility: 158110
325. Pattern: ('5', '52', '9'), ExpSup: 335.27, Utility: 158099
326. Pattern: ('48', '72'), ExpSup: 558.53, Utility: 158007
327. Pattern: ('34', '7', '9'), ExpSup: 330.63, Utility: 157945
328. Pattern: ('25', '48', '7'), ExpSup: 330.79, Utility: 157731
329. Pattern: ('34', '66'), ExpSup: 699.99, Utility: 157508
330. Pattern: ('34', '56'), ExpSup: 703.99, Utility: 156636
331. Pattern: ('29', '3', '5'), ExpSup: 333.08, Utility: 156404
332. Pattern: ('34', '5', '58'), ExpSup: 344.19, Utility: 155764
333. Pattern: ('40', '74'), ExpSup: 621.61, Utility: 155667
334. Pattern: ('42', '52', '66'), ExpSup: 331.16, Utility: 155426
335. Pattern: ('52', '58', '64'), ExpSup: 336.73, Utility: 155418
336. Pattern: ('29', '5', '7'), ExpSup: 358.56, Utility: 155195
337. Pattern: ('36', '5', '52'), ExpSup: 356.64, Utility: 154502
338. Pattern: ('52', '72'), ExpSup: 611.88, Utility: 154086
339. Pattern: ('34', '36', '7'), ExpSup: 352.18, Utility: 153972
340. Pattern: ('5', '52', '62'), ExpSup: 362.48, Utility: 153466
341. Pattern: ('29', '60', '9'), ExpSup: 346.68, Utility: 153380
342. Pattern: ('3', '52'), ExpSup: 718.73, Utility: 153244
343. Pattern: ('29', '58', '60'), ExpSup: 389.81, Utility: 153216
344. Pattern: ('42', '52', '56'), ExpSup: 330.07, Utility: 153209
345. Pattern: ('34', '62', '7'), ExpSup: 347.43, Utility: 152387
346. Pattern: ('5', '60', '7'), ExpSup: 350.33, Utility: 152245
347. Pattern: ('27', '40'), ExpSup: 537.21, Utility: 152164
348. Pattern: ('48', '5'), ExpSup: 684.69, Utility: 151382
349. Pattern: ('34', '36', '5'), ExpSup: 335.32, Utility: 150941
350. Pattern: ('52', '7'), ExpSup: 774.06, Utility: 150447
351. Pattern: ('34', '5', '62'), ExpSup: 332.52, Utility: 149971
352. Pattern: ('29', '56', '9'), ExpSup: 342.11, Utility: 149872
353. Pattern: ('52', '62', '64'), ExpSup: 330.02, Utility: 149250
354. Pattern: ('34', '72'), ExpSup: 560.36, Utility: 148908
355. Pattern: ('29', '36', '60'), ExpSup: 374.96, Utility: 148457
356. Pattern: ('5', '66', '7'), ExpSup: 345.35, Utility: 148353
357. Pattern: ('48', '64'), ExpSup: 636.88, Utility: 148284
358. Pattern: ('25', '52', '7'), ExpSup: 350.6, Utility: 148188
359. Pattern: ('29', '66', '9'), ExpSup: 332.06, Utility: 147946
360. Pattern: ('29', '58', '66'), ExpSup: 370.46, Utility: 147885
361. Pattern: ('58', '60', '66'), ExpSup: 377.49, Utility: 147841
362. Pattern: ('56', '60', '9'), ExpSup: 332.39, Utility: 147826
363. Pattern: ('60', '66', '9'), ExpSup: 329.52, Utility: 147818
364. Pattern: ('29', '56', '58'), ExpSup: 378.92, Utility: 147661
365. Pattern: ('5', '56', '7'), ExpSup: 331.36, Utility: 147339
366. Pattern: ('29', '60', '62'), ExpSup: 382.69, Utility: 147078
367. Pattern: ('3', '34'), ExpSup: 660.29, Utility: 146622
368. Pattern: ('48', '58', '9'), ExpSup: 342.59, Utility: 145721
369. Pattern: ('36', '48', '58'), ExpSup: 368.08, Utility: 145637
370. Pattern: ('56', '58', '60'), ExpSup: 371.94, Utility: 145465
371. Pattern: ('5', '52'), ExpSup: 745.02, Utility: 144276
372. Pattern: ('36', '48', '9'), ExpSup: 327.13, Utility: 143848
373. Pattern: ('34', '7'), ExpSup: 731.86, Utility: 143691
374. Pattern: ('40', '54'), ExpSup: 545.72, Utility: 143216
375. Pattern: ('29', '36', '66'), ExpSup: 354.77, Utility: 143064
376. Pattern: ('36', '60', '66'), ExpSup: 357.54, Utility: 143034
377. Pattern: ('29', '36', '56'), ExpSup: 363.2, Utility: 142893
378. Pattern: ('29', '56', '62'), ExpSup: 364.01, Utility: 142821
379. Pattern: ('21', '40'), ExpSup: 553.74, Utility: 142736
380. Pattern: ('52', '64'), ExpSup: 684.06, Utility: 141962
381. Pattern: ('25', '5', '52'), ExpSup: 332.91, Utility: 141928
