minUtil: 4804
234: 7.22: 12690
789: 7.51: 12670
1291: 9.65: 12642
1308: 9.18: 12642
1547: 9.0: 12614
1384: 8.61: 12593
1324: 7.25: 12578
580: 8.45: 12532
394: 6.77: 12520
599: 10.79: 12519
1241: 7.62: 12516
825: 8.29: 12452
1390: 11.26: 12415
493: 8.31: 12408
63: 6.74: 12390
742: 7.8: 12350
915: 7.67: 12341
44: 8.34: 12298
321: 8.28: 12291
489: 6.9: 12291
882: 7.54: 12201
200: 9.8: 12190
414: 8.49: 12188
584: 8.8: 12173
1272: 7.02: 12152
82: 7.45: 12150
191: 7.54: 12054
774: 7.9: 12005
963: 7.3: 12000
1264: 9.35: 11985
1019: 7.56: 11968
149: 7.13: 11952
1184: 6.96: 11928
1538: 7.26: 11893
634: 11.88: 11881
219: 9.27: 11844
1279: 7.18: 11840
1142: 7.54: 11800
673: 8.2: 11782
749: 10.03: 11748
800: 7.39: 11729
1048: 9.43: 11713
1220: 10.18: 11700
691: 7.26: 11685
1357: 9.1: 11653
415: 7.88: 11640
819: 8.06: 11634
751: 6.76: 11607
260: 8.51: 11592
308: 10.94: 11554
728: 9.17: 11528
357: 11.97: 11520
534: 7.46: 11491
1465: 6.69: 11430
1252: 7.48: 11391
1116: 7.73: 11377
1470: 8.64: 11327
1366: 7.46: 11311
1114: 7.13: 11286
73: 9.65: 11184
17: 7.16: 11063
1179: 7.04: 11046
46: 7.06: 11008
577: 8.22: 11004
408: 7.14: 11000
816: 7.69: 10992
386: 10.29: 10927
1543: 8.36: 10912
667: 6.94: 10906
1394: 9.01: 10870
546: 7.28: 10842
1056: 8.03: 10835
22: 6.77: 10763
24: 7.6: 10726
266: 9.29: 10692
1338: 8.99: 10656
834: 7.67: 10656
943: 8.54: 10621
1089: 8.41: 10621
288: 7.35: 10582
619: 7.59: 10575
824: 7.64: 10550
1209: 7.01: 10530
497: 8.66: 10472
587: 6.69: 10464
1372: 7.69: 10458
67: 6.82: 10416
957: 7.17: 10395
1444: 8.77: 10384
1250: 7.71: 10368
1086: 7.69: 10365
1455: 6.82: 10364
1442: 9.99: 10332
1399: 10.11: 10324
860: 7.02: 10296
377: 7.13: 10290
117: 7.97: 10175
1328: 6.96: 10165
1306: 8.83: 10127
1346: 7.77: 10105
488: 7.49: 10101
529: 7.74: 10074
999: 6.69: 10027
376: 7.93: 9988
1096: 7.17: 9984
9: 6.63: 9922
1347: 9.71: 9912
772: 8.5: 9894
625: 8.31: 9821
1408: 7.49: 9805
865: 7.05: 9758
346: 7.24: 9752
718: 10.36: 9741
125: 7.51: 9737
878: 7.74: 9724
547: 7.41: 9702
1210: 8.63: 9681
1315: 10.88: 9612
1506: 7.0: 9604
914: 7.27: 9594
1383: 6.71: 9583
1222: 7.48: 9555
1257: 9.62: 9505
992: 7.64: 9486
721: 7.86: 9485
600: 7.62: 9471
951: 8.05: 9457
545: 12.1: 9419
341: 6.64: 9418
108: 8.52: 9417
236: 8.72: 9412
1351: 10.9: 9352
685: 8.87: 9333
247: 9.52: 9256
805: 7.33: 9216
1432: 8.77: 9180
138: 6.67: 9180
448: 8.21: 9086
382: 9.27: 9072
1478: 8.03: 9044
1363: 6.68: 9044
851: 7.76: 9030
303: 7.29: 9030
1491: 6.65: 9030
154: 8.29: 9016
1028: 6.83: 8960
375: 7.72: 8931
1277: 7.1: 8890
1174: 8.09: 8853
831: 11.39: 8848
1456: 9.82: 8784
58: 6.75: 8778
391: 9.95: 8777
389: 8.59: 8771
953: 6.96: 8768
503: 7.07: 8742
1029: 7.74: 8736
1554: 6.84: 8636
311: 9.57: 8600
100: 7.2: 8580
739: 7.43: 8568
1483: 8.14: 8520
269: 6.89: 8520
312: 6.84: 8520
1061: 8.07: 8466
1082: 6.63: 8404
1439: 10.25: 8400
479: 7.93: 8385
877: 7.74: 8374
650: 7.88: 8370
988, 1281, 772, 339: 0.08: 8358
1293: 12.66: 8352
1062: 6.91: 8330
753: 7.11: 8315
541: 7.95: 8272
932: 10.78: 8262
522: 7.49: 8140
1463: 7.62: 8118
1526: 8.73: 8085
730: 7.39: 8084
1247: 8.26: 8064
1353: 6.97: 8064
1362: 10.29: 8046
813: 9.09: 7967
969: 9.33: 7920
468: 7.26: 7830
516: 6.93: 7770
980: 7.98: 7740
227: 8.09: 7722
942: 7.26: 7722
792: 7.39: 7668
727: 6.95: 7640
1399, 1426, 727, 1365: 0.11: 7632
285: 7.27: 7626
1451: 10.9: 7614
662: 7.35: 7585
1386: 6.86: 7544
617: 11.75: 7527
1267: 7.13: 7520
785: 6.64: 7517
913: 7.74: 7476
307: 9.83: 7400
434: 9.33: 7384
988, 1281, 772: 0.15: 7378
1242: 6.68: 7326
898: 6.72: 7308
1154: 8.01: 7304
324: 8.24: 7289
1361: 7.32: 7240
1217: 9.21: 7239
1472, 1389, 819, 1279: 0.17: 7219
1399, 1426, 727: 0.17: 7208
887: 7.14: 7200
988, 772: 0.23: 7188
1268: 8.66: 7150
874: 7.04: 7146
1412: 7.03: 7137
747: 6.76: 7137
566: 9.05: 7120
1134: 7.03: 7098
1079: 7.96: 7072
1399, 1426, 1043, 217, 1542, 727, 1365: 0.01: 7067
923: 7.16: 7056
1294: 8.07: 7052
854: 7.45: 7040
404: 11.02: 7000
1224: 9.67: 6944
33: 6.62: 6936
919: 7.96: 6930
760: 6.86: 6919
1118, 502, 968, 415: 0.16: 6910
1043: 8.65: 6908
890, 1410, 1493, 191: 0.54: 6885
173: 8.06: 6864
469: 8.32: 6837
988, 1281, 339: 0.19: 6806
443: 8.08: 6783
1485: 6.77: 6750
1399, 1426, 1043, 217, 1542, 727: 0.02: 6749
1399, 1426, 1043, 1542, 727, 1365: 0.02: 6727
1358: 7.22: 6720
1376: 7.03: 6720
715: 7.11: 6665
767: 7.3: 6662
1145: 6.85: 6594
1399, 1426, 1043, 217, 727, 1365: 0.02: 6592
1426, 727: 0.67: 6589
1410: 7.82: 6536
175, 418, 874, 651: 0.0: 6434
1399, 1426, 1043, 1542, 727: 0.06: 6409
374: 7.83: 6407
725: 6.95: 6407
958: 7.03: 6392
1075: 8.12: 6314
819, 1279: 1.27: 6303
339: 6.93: 6300
1418: 7.36: 6279
1399, 1426, 1043, 217, 727: 0.03: 6274
931: 6.65: 6270
1098: 8.58: 6255
1499: 8.53: 6255
1399, 1426, 1043, 727, 1365: 0.03: 6252
604: 9.04: 6250
501: 9.87: 6227
563: 7.92: 6216
48: 6.89: 6204
410: 7.49: 6174
1522: 8.62: 6147
988, 772, 339: 0.11: 6142
1190: 7.06: 6110
1399, 1426, 1365: 0.7: 6104
1530: 6.78: 6096
1106: 6.88: 6073
1118, 502, 415: 0.23: 6014
1045, 812, 313, 1049, 1554: 0.01: 6005
158: 7.26: 6004
378: 10.08: 5994
528: 7.96: 5952
1399, 1426, 1043, 727: 0.07: 5934
1338, 1049: 0.67: 5928
1399, 1426, 1043, 217, 1542, 1365: 0.13: 5921
911: 6.71: 5910
1291, 941, 914, 958: 0.11: 5906
1472, 819, 1279: 0.32: 5904
1389, 819, 1279: 0.34: 5899
988, 1281: 0.36: 5826
175, 418, 874: 0.01: 5794
1426, 217, 756, 727: 0.02: 5778
968: 8.19: 5760
1438: 6.79: 5754
222, 1497: 0.78: 5726
890, 191: 1.37: 5715
1426, 217, 727: 0.17: 5697
1398, 83: 0.04: 5695
1399, 1426: 0.86: 5680
1468: 8.08: 5670
787: 7.64: 5662
1399, 1426, 217, 727, 1365: 0.02: 5650
1050: 8.06: 5632
934: 7.01: 5610
1436, 111, 937: 0.34: 5607
1399, 1426, 1043, 217, 1542: 0.16: 5603
618: 7.88: 5600
23: 6.81: 5600
1399, 1426, 1043, 1542, 1365: 0.18: 5581
1397: 8.76: 5577
10: 7.07: 5538
916, 379, 922: 0.78: 5532
789, 556: 1.1: 5496
174: 6.66: 5472
1019, 17, 104, 67: 0.04: 5462
1399, 1426, 1043, 217, 1365: 0.34: 5446
836: 7.75: 5428
1426, 756, 727: 0.03: 5370
202: 6.8: 5364
1389, 1279: 0.61: 5360
1399, 1426, 217, 727: 0.04: 5332
1487: 9.64: 5320
178: 7.06: 5320
1426, 727, 1365: 0.3: 5318
890, 1410, 191: 0.61: 5301
888: 11.38: 5280
495: 7.14: 5265
1399, 1426, 1043, 1542: 0.25: 5263
1544: 6.85: 5256
1045, 812, 313, 1049: 0.12: 5243
1291, 941, 914: 0.22: 5226
1055: 7.18: 5184
175, 418, 651: 0.05: 5162
560: 6.76: 5160
502, 968, 415: 0.28: 5152
1045, 812, 1049, 1554: 0.02: 5150
385: 7.55: 5148
988, 1281, 772, 1142, 339: 0.04: 5134
1399, 1426, 1043, 217: 0.4: 5128
129: 7.28: 5115
1210, 844, 1493: 0.27: 5114
1399, 1426, 1043, 1365: 0.47: 5106
728, 1310, 528, 1254, 1493: 0.01: 5039
545, 219, 422, 1098, 479, 1254: 0.01: 5030
1472, 1389, 1279: 0.25: 5003
795: 8.18: 4992
1508, 626, 825, 1019, 963: 0.03: 4992
1426, 1043, 217, 727, 1365: 0.04: 4990
370: 7.38: 4968
111, 937: 0.81: 4963
284: 8.02: 4950
640, 324, 234: 0.28: 4947
1373, 617, 321, 1077, 620, 773, 1096: 0.0: 4923
604, 321, 49, 1314: 0.03: 4922
626: 8.6: 4902
1077, 721: 0.56: 4892
1499, 1056: 1.52: 4891
285, 1094: 0.86: 4881
380: 8.84: 4880
890, 1410, 1493: 0.91: 4876
1118, 502, 968: 0.26: 4873
1472, 170: 0.35: 4860
1472, 1389, 819: 0.43: 4851
1362, 946, 742: 0.09: 4827
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 4141
 Candidates count : 3862
 Sum utility : 5107980
 Algorithm run time : 7 seconds
 Peak memory usage : 0.10 MB
