minUtil: 4804
304: 14.23: 13607
1281: 9.1: 13573
1160: 8.19: 13517
656: 6.41: 13475
1473: 9.4: 13452
756: 7.5: 13393
1417: 7.03: 13357
803: 6.49: 13338
1119: 8.86: 13314
640: 9.36: 13209
1118: 9.5: 13178
1007: 7.37: 13166
896: 6.88: 13127
322: 7.14: 13112
1340: 8.25: 13107
326: 9.77: 13091
883: 8.63: 13041
105: 6.66: 13020
387: 7.12: 13014
555: 7.59: 12960
922: 7.53: 12950
54: 9.51: 12889
1001: 7.11: 12852
261: 7.52: 12844
891: 6.99: 12844
933: 6.11: 12844
676: 6.04: 12824
853: 7.52: 12804
890: 9.18: 12789
1416: 7.62: 12788
1472: 8.86: 12760
606: 8.66: 12720
8: 6.47: 12691
1165: 8.01: 12690
234: 7.22: 12690
789: 7.51: 12670
568: 6.31: 12654
1248: 6.25: 12653
1291: 9.65: 12642
1308: 9.18: 12642
1547: 9.0: 12614
519: 6.46: 12606
1384: 8.61: 12593
1324: 7.25: 12578
580: 8.45: 12532
394: 6.77: 12520
599: 10.79: 12519
1241: 7.62: 12516
825: 8.29: 12452
1390: 11.26: 12415
493: 8.31: 12408
63: 6.74: 12390
742: 7.8: 12350
915: 7.67: 12341
1146: 6.2: 12336
1213: 6.35: 12301
44: 8.34: 12298
321: 8.28: 12291
489: 6.9: 12291
882: 7.54: 12201
200: 9.8: 12190
414: 8.49: 12188
584: 8.8: 12173
1272: 7.02: 12152
1313: 5.99: 12152
82: 7.45: 12150
68: 6.55: 12104
191: 7.54: 12054
774: 7.9: 12005
963: 7.3: 12000
1264: 9.35: 11985
1019: 7.56: 11968
149: 7.13: 11952
1047: 6.06: 11951
952: 6.61: 11931
1184: 6.96: 11928
121: 6.16: 11920
1538: 7.26: 11893
634: 11.88: 11881
219: 9.27: 11844
1279: 7.18: 11840
1142: 7.54: 11800
673: 8.2: 11782
1343: 6.1: 11767
749: 10.03: 11748
800: 7.39: 11729
1048: 9.43: 11713
1220: 10.18: 11700
691: 7.26: 11685
1357: 9.1: 11653
415: 7.88: 11640
819: 8.06: 11634
751: 6.76: 11607
260: 8.51: 11592
610: 6.23: 11577
308: 10.94: 11554
728: 9.17: 11528
1502: 6.14: 11521
357: 11.97: 11520
534: 7.46: 11491
1465: 6.69: 11430
270: 6.02: 11424
1252: 7.48: 11391
1116: 7.73: 11377
940: 6.07: 11360
1470: 8.64: 11327
1366: 7.46: 11311
373: 6.5: 11311
1002: 6.4: 11308
1114: 7.13: 11286
164: 5.95: 11286
1066: 6.33: 11271
102: 6.0: 11270
73: 9.65: 11184
17: 7.16: 11063
1179: 7.04: 11046
46: 7.06: 11008
577: 8.22: 11004
408: 7.14: 11000
816: 7.69: 10992
386: 10.29: 10927
544: 6.41: 10915
1543: 8.36: 10912
667: 6.94: 10906
1394: 9.01: 10870
546: 7.28: 10842
1056: 8.03: 10835
675: 6.32: 10770
22: 6.77: 10763
856: 6.53: 10755
372: 6.46: 10746
24: 7.6: 10726
266: 9.29: 10692
1338: 8.99: 10656
834: 7.67: 10656
943: 8.54: 10621
1089: 8.41: 10621
288: 7.35: 10582
619: 7.59: 10575
798: 6.21: 10569
824: 7.64: 10550
1209: 7.01: 10530
1152: 6.54: 10520
497: 8.66: 10472
587: 6.69: 10464
1372: 7.69: 10458
548: 6.56: 10433
67: 6.82: 10416
957: 7.17: 10395
1444: 8.77: 10384
1250: 7.71: 10368
1086: 7.69: 10365
1455: 6.82: 10364
1402: 6.13: 10360
1442: 9.99: 10332
1399: 10.11: 10324
860: 7.02: 10296
377: 7.13: 10290
653: 6.48: 10286
117: 7.97: 10175
1328: 6.96: 10165
1306: 8.83: 10127
152: 6.01: 10115
1346: 7.77: 10105
488: 7.49: 10101
862: 6.41: 10101
242: 6.25: 10101
529: 7.74: 10074
1080: 6.04: 10074
999: 6.69: 10027
1107: 6.18: 9990
376: 7.93: 9988
1096: 7.17: 9984
9: 6.63: 9922
1347: 9.71: 9912
772: 8.5: 9894
277: 6.12: 9881
625: 8.31: 9821
1408: 7.49: 9805
865: 7.05: 9758
346: 7.24: 9752
718: 10.36: 9741
125: 7.51: 9737
878: 7.74: 9724
714: 6.02: 9720
547: 7.41: 9702
1210: 8.63: 9681
1500: 6.5: 9640
1315: 10.88: 9612
1506: 7.0: 9604
914: 7.27: 9594
1383: 6.71: 9583
1222: 7.48: 9555
13: 5.98: 9540
1257: 9.62: 9505
992: 7.64: 9486
721: 7.86: 9485
600: 7.62: 9471
951: 8.05: 9457
545: 12.1: 9419
341: 6.64: 9418
108: 8.52: 9417
236: 8.72: 9412
130: 6.41: 9366
186: 6.3: 9366
1351: 10.9: 9352
685: 8.87: 9333
247: 9.52: 9256
805: 7.33: 9216
442: 6.41: 9184
1432: 8.77: 9180
138: 6.67: 9180
448: 8.21: 9086
382: 9.27: 9072
1478: 8.03: 9044
1363: 6.68: 9044
851: 7.76: 9030
303: 7.29: 9030
1491: 6.65: 9030
188: 6.09: 9030
1457: 6.5: 9018
154: 8.29: 9016
537: 6.51: 9010
1227: 6.05: 8992
1006: 6.15: 8988
1028: 6.83: 8960
375: 7.72: 8931
1277: 7.1: 8890
1550: 6.43: 8869
1174: 8.09: 8853
831: 11.39: 8848
1456: 9.82: 8784
58: 6.75: 8778
391: 9.95: 8777
389: 8.59: 8771
953: 6.96: 8768
72: 6.27: 8768
503: 7.07: 8742
1029: 7.74: 8736
1375: 6.23: 8733
196: 6.48: 8645
1554: 6.84: 8636
311: 9.57: 8600
100: 7.2: 8580
739: 7.43: 8568
1483: 8.14: 8520
269: 6.89: 8520
312: 6.84: 8520
356: 6.12: 8496
1061: 8.07: 8466
1082: 6.63: 8404
1439: 10.25: 8400
479: 7.93: 8385
877: 7.74: 8374
650: 7.88: 8370
988, 1281, 772, 339: 0.08: 8358
848: 5.97: 8357
1293: 12.66: 8352
7: 6.25: 8352
1062: 6.91: 8330
753: 7.11: 8315
273: 6.12: 8284
541: 7.95: 8272
932: 10.78: 8262
1320: 6.09: 8246
1323: 6.32: 8232
533: 6.06: 8228
131: 6.53: 8160
522: 7.49: 8140
1463: 7.62: 8118
143: 6.11: 8118
78: 6.22: 8103
1526: 8.73: 8085
730: 7.39: 8084
1247: 8.26: 8064
1353: 6.97: 8064
1362: 10.29: 8046
369: 6.54: 8042
813: 9.09: 7967
969: 9.33: 7920
430: 6.55: 7920
1259: 6.53: 7918
648: 5.95: 7888
468: 7.26: 7830
516: 6.93: 7770
980: 7.98: 7740
227: 8.09: 7722
942: 7.26: 7722
1177: 6.06: 7700
792: 7.39: 7668
160: 6.35: 7668
727: 6.95: 7640
657: 6.08: 7632
1399, 1426, 727, 1365: 0.11: 7632
285: 7.27: 7626
1451: 10.9: 7614
662: 7.35: 7585
1386: 6.86: 7544
617: 11.75: 7527
1267: 7.13: 7520
785: 6.64: 7517
913: 7.74: 7476
307: 9.83: 7400
434: 9.33: 7384
988, 1281, 772: 0.15: 7378
972: 6.09: 7359
1242: 6.68: 7326
898: 6.72: 7308
1154: 8.01: 7304
899: 6.16: 7296
324: 8.24: 7289
1489: 6.38: 7266
1361: 7.32: 7240
1217: 9.21: 7239
1411: 6.09: 7220
1472, 1389, 819, 1279: 0.17: 7219
1399, 1426, 727: 0.17: 7208
887: 7.14: 7200
988, 772: 0.23: 7188
1253: 6.38: 7182
1085: 5.94: 7168
1472, 819, 1279, 430: 0.06: 7164
1389, 819, 1279, 430: 0.06: 7159
1268: 8.66: 7150
874: 7.04: 7146
1412: 7.03: 7137
747: 6.76: 7137
566: 9.05: 7120
1134: 7.03: 7098
1079: 7.96: 7072
923: 7.16: 7056
1294: 8.07: 7052
406: 6.09: 7051
854: 7.45: 7040
1459: 6.57: 7007
404: 11.02: 7000
504: 6.15: 6992
201: 6.08: 6975
1224: 9.67: 6944
33: 6.62: 6936
919: 7.96: 6930
480: 6.54: 6927
760: 6.86: 6919
1156: 6.46: 6916
1180, 614: 0.36: 6912
1118, 502, 968, 415: 0.16: 6910
1043: 8.65: 6908
890, 1410, 1493, 191: 0.54: 6885
173: 8.06: 6864
689: 6.03: 6864
469: 8.32: 6837
988, 1281, 339: 0.19: 6806
443: 8.08: 6783
1485: 6.77: 6750
1358: 7.22: 6720
1376: 7.03: 6720
700: 6.1: 6695
715: 7.11: 6665
518: 6.12: 6664
767: 7.3: 6662
1145: 6.85: 6594
1426, 727: 0.67: 6589
436: 6.02: 6579
1410: 7.82: 6536
523: 6.52: 6536
930: 6.18: 6512
1389, 907, 1500, 930: 0.06: 6501
918, 136, 702: 0.43: 6495
182: 6.43: 6440
34: 6.04: 6421
1399, 1426, 1043, 1542, 727: 0.06: 6409
374: 7.83: 6407
725: 6.95: 6407
958: 7.03: 6392
921: 6.36: 6345
333: 6.59: 6336
1075: 8.12: 6314
553: 6.12: 6303
819, 1279: 1.27: 6303
339: 6.93: 6300
1418: 7.36: 6279
931: 6.65: 6270
1098: 8.58: 6255
1499: 8.53: 6255
604: 9.04: 6250
728, 1310, 1254, 1493, 372: 0.06: 6247
501: 9.87: 6227
563: 7.92: 6216
48: 6.89: 6204
1162: 6.01: 6195
864: 6.43: 6189
140: 6.36: 6188
410: 7.49: 6174
876: 6.02: 6156
1522: 8.62: 6147
988, 772, 339: 0.11: 6142
1472, 1389, 819, 430: 0.13: 6111
1190: 7.06: 6110
1399, 1426, 1365: 0.7: 6104
1530: 6.78: 6096
1437: 6.43: 6090
1106: 6.88: 6073
1118, 502, 415: 0.23: 6014
158: 7.26: 6004
378: 10.08: 5994
1338, 789, 1049, 1028, 373, 1248, 972: 0.11: 5982
285, 1094, 518: 0.38: 5969
528: 7.96: 5952
1379: 6.33: 5952
1399, 1426, 1043, 727: 0.07: 5934
1338, 1049: 0.67: 5928
1399, 1426, 1043, 217, 1542, 1365: 0.13: 5921
911: 6.71: 5910
437: 6.5: 5910
1291, 941, 914, 958: 0.11: 5906
1472, 819, 1279: 0.32: 5904
1389, 819, 1279: 0.34: 5899
299: 6.54: 5880
1310, 1254, 1493, 372: 0.1: 5869
819, 1279, 430: 0.11: 5844
1359: 6.04: 5828
988, 1281: 0.36: 5826
613: 6.4: 5824
313, 1538, 80: 0.35: 5818
1399, 1426, 217, 1542, 727: 0.04: 5807
316: 6.43: 5764
968: 8.19: 5760
391, 957, 341, 807: 0.25: 5756
1438: 6.79: 5754
640, 104, 940: 0.12: 5746
1067: 6.49: 5742
222, 1497: 0.78: 5726
890, 191: 1.37: 5715
1426, 217, 727: 0.17: 5697
896, 530: 0.63: 5686
890, 1493, 191: 0.88: 5681
1399, 1426: 0.86: 5680
1468: 8.08: 5670
787: 7.64: 5662
1050: 8.06: 5632
1161, 1544, 1554, 202, 751, 9: 0.09: 5616
919, 1179, 896, 530: 0.26: 5612
292: 6.44: 5611
934: 7.01: 5610
1436, 111, 937: 0.34: 5607
1399, 1426, 1043, 217, 1542: 0.16: 5603
618: 7.88: 5600
23: 6.81: 5600
51: 6.0: 5586
1399, 1426, 1043, 1542, 1365: 0.18: 5581
1397: 8.76: 5577
489, 532: 0.25: 5557
95: 6.59: 5548
10: 7.07: 5538
268: 6.23: 5536
916, 379, 922: 0.78: 5532
1312: 6.5: 5508
807: 6.3: 5499
789, 556: 1.1: 5496
1351, 625, 824, 835: 0.1: 5495
174: 6.66: 5472
1492: 6.48: 5467
1399, 1426, 1542, 727: 0.09: 5467
750: 5.94: 5460
1399, 1426, 1043, 217, 1365: 0.34: 5446
204: 6.09: 5440
836: 7.75: 5428
1282, 1066: 1.17: 5408
1292, 1019, 17, 104, 576: 0.04: 5408
491, 1227: 0.88: 5407
438: 6.58: 5404
225, 614: 0.05: 5380
1473, 924, 1540, 544: 0.05: 5379
360: 5.96: 5371
202: 6.8: 5364
1389, 1279: 0.61: 5360
379, 662, 446, 656: 0.24: 5345
1399, 1426, 217, 727: 0.04: 5332
690: 6.21: 5328
1487: 9.64: 5320
178: 7.06: 5320
1426, 727, 1365: 0.3: 5318
1389, 907, 1500: 0.07: 5317
789, 1049, 1028, 373, 1248, 972: 0.14: 5316
1338, 789, 1049, 1028, 373, 1248: 0.27: 5313
1338, 789, 1049, 373, 1248, 972: 0.12: 5310
890, 1410, 191: 0.61: 5301
888: 11.38: 5280
1329: 6.36: 5280
495: 7.14: 5265
1399, 1426, 1043, 1542: 0.25: 5263
1544: 6.85: 5256
662, 446, 656, 13: 0.07: 5250
1439, 170, 20, 1372, 330, 1162: 0.04: 5249
1045, 812, 313, 1049: 0.12: 5243
1291, 941, 914: 0.22: 5226
840: 6.12: 5206
1292, 1019, 17, 104: 0.11: 5198
1338, 789, 1028, 373, 1248, 972: 0.21: 5196
1055: 7.18: 5184
560: 6.76: 5160
502, 968, 415: 0.28: 5152
385: 7.55: 5148
1426, 1043, 217, 1542, 727: 0.09: 5147
728, 1310, 1493, 372: 0.12: 5146
1399, 1426, 1043, 217: 0.4: 5128
1426, 1043, 1542, 727, 1365: 0.07: 5125
129: 7.28: 5115
1210, 844, 1493: 0.27: 5114
937, 1047: 0.14: 5111
1473, 1540, 544, 1107: 0.08: 5109
1399, 1426, 1043, 1365: 0.47: 5106
1504: 6.28: 5082
520, 326, 83, 1402, 676, 876: 0.05: 5062
952, 559: 0.69: 5060
1045, 529, 136, 519: 0.15: 5050
932, 449, 170, 387, 283: 0.09: 5046
902: 6.52: 5043
85: 6.07: 5032
1161, 1554, 202, 751, 9: 0.15: 5032
1161, 1544, 1554, 751, 9: 0.19: 5020
652: 6.19: 5010
136, 702: 0.58: 5010
1472, 1389, 1279: 0.25: 5003
795: 8.18: 4992
1426, 1043, 217, 727, 1365: 0.04: 4990
1338, 789, 1049, 1028, 373, 972: 0.11: 4983
918, 1394, 619, 1540, 82: 0.05: 4983
1399, 1426, 217, 1542, 1365: 0.16: 4979
370: 7.38: 4968
111, 937: 0.81: 4963
1045, 313, 1049, 695: 0.08: 4963
1426, 1093: 0.46: 4959
1161, 1544, 1554, 202, 9: 0.11: 4959
284: 8.02: 4950
1472, 1279, 430: 0.08: 4948
640, 324, 234: 0.28: 4947
1048, 988, 1493, 179, 412: 0.04: 4947
1389, 1279, 430: 0.08: 4943
365, 53: 0.73: 4938
379, 662, 656, 13: 0.07: 4905
626: 8.6: 4902
1338, 1049, 1028, 373, 1248, 972: 0.12: 4896
1077, 721: 0.56: 4892
1499, 1056: 1.52: 4891
285, 1094: 0.86: 4881
380: 8.84: 4880
1338, 789, 1049, 1028, 1248, 972: 0.14: 4878
890, 1410, 1493: 0.91: 4876
1118, 502, 968: 0.26: 4873
789, 1248: 0.99: 4865
379, 662, 446, 13: 0.05: 4865
1472, 170: 0.35: 4860
1104, 1470, 1174, 1180, 1380: 0.16: 4853
402: 6.3: 4851
1493, 164: 0.52: 4851
1472, 1389, 819: 0.43: 4851
419, 464, 1540, 575, 408: 0.08: 4834
831, 555, 991, 621, 188: 0.04: 4830
1362, 946, 742: 0.09: 4827
1499, 170, 1056, 546, 136: 0.08: 4822
812, 313, 1049, 695: 0.04: 4819
656, 13: 0.48: 4815
1389, 907, 930: 0.38: 4814
1291, 1417, 785, 702: 0.12: 4814
1426, 1043, 1542, 727: 0.24: 4807
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 4141
 Candidates count : 9208
 Sum utility : 6881503
 Algorithm run time : 8 seconds
 Peak memory usage : 0.25 MB
